Username,Handle,Timestamp,Tweet,Replies_Count,Retweet_Count,Likes_Count,polarity,sentiment
Ang Bayan,@AngBayan_1969,2023-06-12T11:39:44.000Z,"inilunsad ng transport sector ang isang transport summit noong hunyo 10 para pagbuklurin ang mga tsuper, maliliit na opereytor, at mga pasahero laban sa banta ng #jeepneyphaseout at para palakasin ang panawagan ng sambayanan sa pangmasang transportasyon.https://philippinerevolution.nu/angbayan/transport-summit-idinaos-ng-mga-tsuper-at-opereytor/…",1.0,4,5,-1,negative
Mormon Benito,@mormonxbenito,2023-06-02T11:43:46.000Z,parang gusto ko na mag #jeepneyphaseout,,,,1,positive
CHANO,@iam_hischanz,2023-05-28T09:37:16.000Z,it is almost 15-20 min.  since byaheng naic to trece sya and nakaupo lang ako ng maayos sa tapat ng sm treceayos po tayo sa byahe naic to trece terminalnaging against din naman ako sa #jeepneyphaseout !!?,1.0,,,1,positive
girlwhohasnoname,@vaporub_viks,2023-05-26T02:02:19.000Z,"after this day, now i support #jeepneyphaseout abay putanginang jip ko knina 30mins. na nagantay ng pasahero kahit puno na sya nakakapika mga ganitong drayber tangina kayo",,,,0,neutral
Gab,@gabpadiernos_,2023-04-19T15:45:52.000Z,replying to @zendileok,,,1,0,neutral
Adriel Joseph Tilos,@TilosAdriel,2023-04-03T06:21:14.000Z,(performance-task sa filipino)paki basa!!https://docs.google.com/document/d/1rwpk7-yu0e3fku0tt7uiaqozc6uezbc8xbmrlbs5ua0/edit?usp=drivesdk…#jeepneyphaseout #notojeepphaseout,,,,0,neutral
secret,@risx_2,2023-03-30T07:54:47.000Z,"kahit labag sa loob ko kailangan namin ipanalo ang debate, agree ba naman nakuha namin sa jeepney phaseout kahit disagree ako don#jeepneyphaseout #notojeepneyphaseout",,,1,-1,negative
jadi (taylor's version)¹6ⁿⁿ,@sageparadisea,2023-03-25T10:26:46.000Z,this is one of many why should we say no to #jeepneyphaseout,,,2,0,neutral
Chang,@chan_changgggg,2023-03-14T22:31:48.000Z,yes to #jeepneyphaseout  may sasakyan na ako,,,,0,neutral
wilmer lopez,@wilmermlv,2023-03-14T17:03:20.000Z,https://jeepoholicapparel.com/bpv5svej #jeepneyphaseout #f1 #nascar,,,,0,neutral
