Username,Handle,Timestamp,Tweet,Replies_Count,Retweet_Count,Likes_Count,,,
Ang Bayan,@AngBayan_1969,2023-06-12T11:39:44.000Z,"Inilunsad ng transport sector ang isang Transport Summit noong Hunyo 10 para pagbuklurin ang mga tsuper, maliliit na opereytor, at mga pasahero laban sa banta ng #JeepneyPhaseout at para palakasin ang panawagan ng sambayanan sa pangmasang transportasyon.
https://philippinerevolution.nu/angbayan/transport-summit-idinaos-ng-mga-tsuper-at-opereytor/…",1,4,5,,,
Mormon Benito,@mormonxbenito,2023-06-02T11:43:46.000Z,Parang gusto ko na mag #JeepneyPhaseout,,,,,,
CHANO,@iam_hischanz,2023-05-28T09:37:16.000Z,"It is almost 15-20 min.  since byaheng Naic to Trece sya and nakaupo lang ako ng maayos sa tapat ng SM Trece

Ayos po tayo sa byahe Naic to Trece terminal

Naging against din naman ako sa #JeepneyPhaseOut !!?",1,,,,,
girlwhohasnoname,@vaporub_viks,2023-05-26T02:02:19.000Z,"after this day, now I support #JeepneyPhaseout abay putanginang jip ko knina 30mins. na nagantay ng pasahero kahit puno na sya 

Nakakapika mga ganitong drayber tangina kayo",,,,,,
Gab,@gabpadiernos_,2023-04-19T15:45:52.000Z,"Replying to 
@zendileok",,,1,,,
Adriel Joseph Tilos,@TilosAdriel,2023-04-03T06:21:14.000Z,"(Performance-task sa Filipino)
PAKI BASA!!

https://docs.google.com/document/d/1RwpK7-yu0E3FKu0TT7uiAqozc6uEzBc8XBmRlBS5ua0/edit?usp=drivesdk…

#jeepneyphaseout 
#notojeepphaseout",,,,,,
secret,@risx_2,2023-03-30T07:54:47.000Z,"kahit labag sa loob ko kailangan namin ipanalo ang debate, agree ba naman nakuha namin sa jeepney phaseout kahit disagree ako don
#jeepneyphaseout 
#NoToJeepneyPhaseout",,,1,,,
jadi (taylor's version)¹6ⁿⁿ,@sageparadisea,2023-03-25T10:26:46.000Z,This is one of many why should we say no to #jeepneyphaseout,,,2,,,
Chang,@chan_changgggg,2023-03-14T22:31:48.000Z,Yes to #jeepneyphaseout  may sasakyan na ako,,,,,,
wilmer lopez,@wilmermlv,2023-03-14T17:03:20.000Z,https://jeepoholicapparel.com/bpv5svej #jeepneyphaseout #F1 #NASCAR,,,,,,
Updates PH,@NDFUpdatesPH,2023-03-14T16:23:02.000Z,"Transport unions Piston, Manibela and other jeepney operators’ and drivers’ orgs led about 100k drivers in major cities to protest the Marcos govt’s #JeepneyPhaseout Program which will replace jeepneys with the minibus that drivers can't possibly afford.",,1,4,,,
Abante TeleTabloid,@ATeletabloid,2023-03-14T02:51:30.000Z,"Mas mura at gawang Pinoy na modernized version ng jeepneys, ibinibida ngayon ng isang transport group sa LTFRB.

Tutukan ang iba pang balita: https://bit.ly/3yAZkYA

#AbanteTeletabloid #AbanteNews #NewsPH #PUVModernization #JeepneyPhaseout #LTFRB",,3,1,,,
Pusang Gala,@pusanggala007,2023-03-13T00:00:44.000Z,"Kung gusto ninyo ng progreso bitiwan n'yo ""sentimental value"". #jeepneyphaseout #jeepneymodernization #BBM",15,42,162,,,
SimpleRule,@greenandleafyme,2023-03-12T23:46:51.000Z,"What should we do if we can't change the ugly look of our roads because our government is incapable of putting policies into action?

#jeepneyphaseout",,,,,,
jaxx3,@syazex3,2023-03-12T14:51:40.000Z,"Replying to 
@idolnamnam
 and 
@KM_Jessica_Soho",1,,,,,
republicasia,@republicasiadot,2023-03-12T09:28:14.000Z,Malaki na ang P700 sa apat na balikan kada araw. Kaya di maubos maisip ni Tatay Jesus paano sya makakabili ng P2M jeep para hindi mawalan ng kabuhayan at magutom ang 3 anak. | #jeepneyphaseout #news #newsph #socialnewsph #republicasianews #republicasia,,,,,,
jane dondiego,@DondiegoJane,2023-03-12T06:20:59.000Z,Jeep ang pinaka mabilis para sa mga nag mamadali wala talaga makaka talo sa transportaion ng jeep no #jeepneyphaseout,,,,,,
Lian,@Linvnrcon,2023-03-12T03:19:34.000Z,pwede bang si bea nalang ipa phaseout wag na ang jeepney naiirita kasi ako #jeepneyphaseout (2),,,,,,
Chiridikongkoylak,@hackdugbans,2023-03-11T14:40:07.000Z,"the irony of pinoys: atat sa improvement pero galit sa proseso. do not put forward any propositions like jeepney modernization again. we are allergic to long-term solutions as it coexist with inconvenience. ganto na lang po ang PH, wag na baguhin. 
#jeepneyphaseout",3,1,1,,,
Abante TeleTabloid,@ATeletabloid,2023-03-11T11:27:00.000Z,"Ipinagmalaki ng dalawang transport group na tagumpay ang kanilang jeepney strike nitong Lunes dahil maraming driver ang hindi pumasada upang iprotesta ang modernization program ng gobyerno. 

https://abante.com.ph/2023/03/06/metro-manila-pilay-sa-jeepney-strike/…

#AbanteTeletabloid #AbanteNews #TigilPasada #JeepneyPhaseout",,2,2,,,
Abante TeleTabloid,@ATeletabloid,2023-03-11T10:40:00.000Z,"#ICYMI: Ipinagmalaki ng dalawang transport group na tagumpay ang kanilang jeepney strike nitong Lunes dahil maraming driver ang hindi pumasada upang iprotesta ang modernization program ng gobyerno. 

https://abante.com.ph/2023/03/06/metro-manila-pilay-sa-jeepney-strike/…

#AbanteTeletabloid #TigilPasada #JeepneyPhaseout",,2,1,,,
.,@saddestlewis,2023-03-11T06:48:52.000Z,"Argue with me, bakit ayaw nyo mag innovate? Why say no to #jeepneyphaseout ?? Okay lang sa inyo na yung mga jeepney drivers naten ma stuck sa mababang kita? When the government will hire them as official drivers??",1,,1,,,
Ac,@EynjeeLovesU,2023-03-10T13:12:01.000Z,"Kung tatanggalan sila ng karapatan, paano na ang kanilang kinabukasan?

#NoToJeepneyPhaseout #jeepneyphaseout",,,,,,
ㄹㅈ Woodz in MNL D-3,@eamazzir,2023-03-10T12:12:29.000Z,WAYV SAYS #NoToJeepneyPhaseout !!!!!!!!! #jeepneyphaseout #WayV #WayV_Phantom_in_MANILA #WeiShenV #웨이션브이 #WayV #Kun #Ten #Winwin #Xiaojun #Hendery #Yangyang,,1,3,,,
Abante Radyo Tabloidista,@abante_radyo,2023-03-10T03:30:00.000Z,"Tiniyak ito sa pagdinig ng House committee on transportation nitong Huwebes.
https://tonite.abante.com.ph/2023/03/09/dotr-ltfrb-walang-puwersahan-sa-jeepney-phaseout/…
#TunayNaTabloidista 
#ToniteNews
#jeepneyphaseout",,,,,,
Hison,@Hison1216,2023-03-10T03:01:28.000Z,"#jeepneyphaseout #NoToJeepneyPhaseout 
#NoToPUVPhaseout 
#NoToJeepPhaseOut 

Stories....",,,,,,
RT-TCZ,@rt_tcz,2023-03-10T02:00:01.000Z,Cool girl #rttcz #jeepneyphaseout #jeeplovers #jeeplife #jeepwrangler #jeepparts,,,1,,,
DOST PCIEERD,@dostpcieerd,2023-03-09T23:43:51.000Z,"Through electric jeepney and LPG-powered jeepney, DOST-PCIEERD offers alternatives for PUV modernization. Read more at https://pcieerd.dost.gov.ph/news/latest-news/513-dost-touts-e-jeep-lpg-powered-jeeps-for-puj-modernization… 

#pujmodernization #jeepneyphaseout #ejeep #innovation",,,,,,
Levi,@into_yun,2023-03-09T19:29:35.000Z,"Replying to 
@fiiveee_",1,,,,,
Paula Saraza,@PaulaSaraza_,2023-03-09T15:23:11.000Z,"“There might be a tendency, they’ll double the fare”

FilCans share thoughts about the #jeepneyphaseout in  - although in favour of modernizing the traditional PUVs, some say there needs to be a proper consultation with transport groups and commuters/passengers. 
@OMNIFilipino",1,2,2,,,
EverdoneDeal,@EverdoneDeal,2023-03-09T14:46:20.000Z,"#jeepneyphaseout 
#jeepney 
#BBM 
#pasada",,,,,,
Abante Radyo Tabloidista,@abante_radyo,2023-03-08T23:30:00.000Z,"Mga tsuper tamang-duda kay Bautista sa jeepney phaseout
https://tonite.abante.com.ph/2023/03/09/mga-tsuper-tamang-duda-kay-bautista-sa-jeepney-phaseout/…
#TunayNaTabloidista  
#ToniteNews
#jeepneyphaseout",,,,,,
BULGAR,@bulgarofficial,2023-03-08T23:20:20.000Z,"Ano’ng sey mo sa pahayag ni P-BBM na tuloy ang jeepney phaseout at siya ang bahala sa mga tsuper?

#HugotMoShareMo #bulgaronline #isyuatusapin #bulgar #jeepneyphaseout #PUVModernization",,1,1,,,
Wietzell M,@itswitzu,2023-03-08T22:46:56.000Z,"Grabe ung pangyayari sa #jeep pero palaban ang ate nyo 
Traumatic experience riding #jeepney but the author is a #warrior 

https://peakd.com/hive-199493/@artgirl/holdap-sa-jeep-parang-eksena…

#philippines #hiveph #hive #jeepneyphaseout",2,2,7,,,
dirch,@stompnoise,2023-03-08T17:31:09.000Z,Tuwlng may hinaing mga drayber laging ginagawang hostage mga commuter tapos gusto nyo makiisa? #jeepneyphaseout,,,1,,,
śtōrm,@stor_mee,2023-03-08T15:14:48.000Z,"I AGREE with the #jeepneyphaseout but with conditions that benefit the environment, safety of commuters, livelihood of drivers, and traditional imagery of the jeepney.",1,,3,,,
